id,chinese_name,name,codename,is_pal,tribe,bp_class,nonbonus_attack_range,price,must_bring_1,must_bring_2,partner_skills,lv1,lv2,lv3,lv4,lv5,skill_description,lv_diff,must_bring,partner_skill_type,tribe_clean,bp_class_clean,attack_range_type,rarity,rarity_label,element_1_clean,element_2_clean,element_combo,has_dual_element,codename_base,skill_description_length,skill_function_category,lv_diff_category,price_category,pal_id
1,Mian Youyou,Lamball,SheepBall,True,EPalTribeID::SheepBall,SheepBall,100,1000,none,none,Ranch skills,0,0,0,0,0,"When activated, it will transform into a shield equipped on the player. Assign it to Palu Ranch and it will have a chance to drop Wool.",0,none,Production,SheepBall,SheepBall,close,1,🟢 Commun,generally,,generally,False,SheepBall,135,Ranch,Aucun gain,💰 Faible,1_Lamball
2,Naughty cat,Cattiva,PinkCat,True,EPalTribeID::PinkCat,PinkCat,100,1000,timid,none,Increased weight bearing,50,60,70,80,90,"If PinkCat is in the team, it will help carry luggage and increase the player's maximum weight limit.",40,timid,Support logistique,PinkCat,PinkCat,close,1,🟢 Commun,generally,,generally,False,PinkCat,101,Logistique,Gain faible,💰 Faible,2_Cattiva
3,Pipi Chicken,Chikipi,ChickenPal,True,EPalTribeID::ChickenPal,ChickenPal,100,1000,none,none,Ranch skills,0,0,0,0,0,Assign it to Palu Ranch and it will have a chance to give birth to Eggs.,0,none,Production,ChickenPal,ChickenPal,close,1,🟢 Commun,generally,,generally,False,ChickenPal,72,Ranch,Aucun gain,💰 Faible,3_Chikipi
4,green leaf rat,Lifmunk,Carbunclo,True,EPalTribeID::Carbunclo,Carbunclo,100,1010,none,none,Skill power,10,11,13,16,20,"After being activated, it will sit on the player's head and use a submachine gun to chase after the player's attacks.",10,none,Offensif,Carbunclo,Carbunclo,close,1,🟢 Commun,Wood,,Wood,False,Carbunclo,117,Offensif,Gain faible,💰 Faible,4_Lifmunk
5,tinder fox,Foxparks,Kitsunebi,True,EPalTribeID::Kitsunebi,Kitsunebi,100,1040,none,none,Skill power,10,11,13,16,20,"When activated, it will transform into a flamethrower equipped on the player.",10,none,Offensif,Kitsunebi,Kitsunebi,close,1,🟢 Commun,fire,,fire,False,Kitsunebi,77,Autre,Gain faible,💰 Faible,5_Foxparks
6,surf duck,Fuack,BluePlatypus,True,EPalTribeID::Blueplatypus,BluePlatypus,100,1120,none,none,Skill power multiplier,1,1,1,1,2,"When activated, BluePlatypus will ride the wave towards the enemy.",1,none,Offensif,Blueplatypus,BluePlatypus,close,1,🟢 Commun,water,,water,False,BluePlatypus,66,Monture,Gain faible,💰 Faible,6_Fuack
7,Volt Meow,Sparkit,ElecCat,True,EPalTribeID::ElecCat,ElecCat,100,1030,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Electricity Palu's attack power will be increased.",10,none,Offensif,ElecCat,ElecCat,close,1,🟢 Commun,electricity,,electricity,False,ElecCat,86,Offensif,Gain faible,💰 Faible,7_Sparkit
8,Neolepithecus,Tanzee,Monkey,True,EPalTribeID::Monkey,Monkey,100,1280,none,none,Skill power,20,22,26,32,40,"After activation, Monkey will violently shoot nearby enemies with an assault rifle within a certain period of time.",20,none,Offensif,Monkey,Monkey,close,1,🟢 Commun,Wood,,Wood,False,Monkey,115,Autre,Gain faible,💰 Faible,8_Tanzee
9,Fire Deer,Rooby,FlameBambi,True,EPalTribeID::FlameBambi,FlameBambi,100,2950,none,none,Attack power bonus%,10,11,13,16,20,"If it is in the team, the elemental Fire Palu's attack power will be increased.",10,none,Offensif,FlameBambi,FlameBambi,close,2,🟢 Commun,fire,,fire,False,FlameBambi,79,Offensif,Gain faible,💸 Moyen,9_Rooby
10,Keimaru,Pengullet,Penguin,True,EPalTribeID::Penguin,Penguin,100,1080,none,none,Skill power,250,285,325,400,500,"After activation, players will equip Launcher_Default and can shoot Penguin as a cannonball. After hitting the target, Penguin will explode and fall into a dying state.",250,none,Offensif,Penguin,Penguin,close,1,🟢 Commun,water,ice,water_ice,True,Penguin,168,Offensif,Gain moyen,💰 Faible,10_Pengullet
